Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
349,Kyle Anderson,31,GSW,PF,36,3,15,2.1,4.7,0.45,0.5,1.4,0.365,1.6,3.3,0.487,0.506,0.5,0.8,0.667,0.8,2.3,3.1,2.3,0.7,0.6,0.6,1.1,5.3,,anderky01
349,Kyle Anderson,31,MIA,SF,25,1,18.4,2.6,5.4,0.493,0.2,0.7,0.333,2.4,4.6,0.517,0.515,1.2,1.5,0.789,1,2.8,3.8,2.6,0.6,0.5,0.7,1.6,6.7,,anderky01
350,Simone Fontecchio,29,DET,SF,75,0,16.5,2,5,0.402,1,3,0.335,1,1.9,0.507,0.504,0.9,1.1,0.833,0.7,2.2,2.9,0.9,0.4,0.2,0.7,1.3,5.9,,fontesi01
351,Collin Gillespie,25,PHO,PG,33,9,14,2.1,4.8,0.43,1.2,2.7,0.433,0.9,2.1,0.426,0.554,0.6,0.7,0.864,0.7,1.7,2.4,2.4,0.6,0.2,0.5,0.9,5.9,,gilleco01
352,Tidjane Salaün,19,CHO,PF,60,10,20.7,1.9,5.8,0.33,1,3.4,0.283,0.9,2.3,0.4,0.414,1.1,1.6,0.713,1.2,3.5,4.7,1.2,0.5,0.2,1,1.4,5.9,,salauti01
353,Jaylin Williams,22,OKC,PF,47,9,16.7,2.1,4.7,0.439,1.3,3.3,0.399,0.8,1.4,0.529,0.577,0.5,0.6,0.767,1,4.6,5.6,2.6,0.5,0.6,0.7,1.7,5.9,,willija07
354,Moses Brown,25,2TM,C,13,2,9.2,2.6,3.8,0.694,0,0,,2.6,3.8,0.694,0.694,0.6,0.8,0.727,0.9,2.5,3.4,0.2,0.5,0.3,0.8,1.3,5.8,,brownmo01
354,Moses Brown,25,IND,C,9,0,5.1,1.4,2.2,0.65,0,0,,1.4,2.2,0.65,0.65,0.3,0.6,0.6,0.4,1,1.4,0,0.2,0.1,0.7,0.7,3.2,,brownmo01
354,Moses Brown,25,DAL,C,4,2,18.3,5.3,7.3,0.724,0,0,,5.3,7.3,0.724,0.724,1.3,1.5,0.833,2,5.8,7.8,0.5,1,0.8,1.3,2.8,11.8,,brownmo01
355,Adem Bona,21,PHI,C,58,11,15.6,2.3,3.3,0.703,0,0,0,2.3,3.3,0.707,0.703,1.2,1.7,0.67,1.6,2.6,4.2,0.5,0.4,1.2,1.1,2.2,5.8,,bonaad01
356,Quenton Jackson,26,IND,PG,28,7,13.6,2.1,4.4,0.475,0.5,1.4,0.375,1.5,2.9,0.524,0.537,1.1,1.4,0.775,0.5,1.1,1.6,1.9,0.8,0.2,0.6,1.5,5.8,,jacksqu01
357,Robert Williams,27,POR,C,20,3,17.6,2.5,3.9,0.641,0.1,0.2,0.333,2.5,3.8,0.653,0.647,0.8,0.9,0.882,1.8,4.2,5.9,1.1,0.7,1.7,0.9,1.6,5.8,,williro04
358,Moussa Diabaté,23,CHO,C,71,8,17.5,2.4,3.9,0.596,0,0.1,0,2.4,3.9,0.609,0.596,1,1.6,0.595,2.6,3.5,6.2,0.8,0.6,0.6,0.9,1.5,5.7,,diabamo01
359,Landry Shamet,27,NYK,SG,50,0,15.2,2.1,4.6,0.461,1.2,3.1,0.397,0.9,1.5,0.595,0.596,0.2,0.4,0.667,0.2,1,1.2,0.5,0.5,0,0.4,1,5.7,,shamela01
360,Dariq Whitehead,20,BRK,SF,20,0,12.3,2,4.8,0.406,1.7,3.7,0.446,0.3,1.1,0.273,0.578,0.2,0.3,0.6,0.2,1.3,1.5,0.6,0.3,0.1,0.8,1.1,5.7,,whiteda01
361,Jordan Goodwin,26,LAL,PG,29,5,18.7,2.2,5,0.438,0.9,2.3,0.382,1.3,2.6,0.487,0.528,0.3,0.4,0.818,1.3,2.6,3.9,1.4,1,0.4,0.9,1.5,5.6,,goodwjo01
362,Shake Milton,28,2TM,SG,57,2,14.7,2,4.5,0.453,0.7,1.9,0.358,1.4,2.6,0.52,0.528,0.8,1,0.797,0.5,1.3,1.8,1.8,0.4,0.1,0.7,1.2,5.5,,miltosh01
362,Shake Milton,28,BRK,SG,27,1,18.2,2.7,5.8,0.465,1,2.7,0.389,1.7,3.1,0.529,0.554,0.9,1.2,0.758,0.6,1.3,1.9,2.4,0.6,0,0.7,1.6,7.4,,miltosh01
362,Shake Milton,28,LAL,SG,30,1,11.5,1.4,3.2,0.433,0.3,1.1,0.294,1.1,2.1,0.508,0.485,0.7,0.9,0.846,0.5,1.3,1.8,1.3,0.3,0.1,0.7,0.8,3.9,,miltosh01
363,Aaron Holiday,28,HOU,PG,62,3,12.8,1.9,4.3,0.437,1.2,2.9,0.398,0.7,1.4,0.517,0.571,0.5,0.7,0.829,0.2,1,1.3,1.3,0.3,0.2,0.6,1,5.5,,holidaa01
364,Jeff Green,38,HOU,PF,32,3,12.4,1.9,3.8,0.504,0.9,2.5,0.367,1,1.3,0.762,0.624,0.7,0.8,0.808,0.3,1.5,1.8,0.6,0.2,0.1,0.3,1,5.4,,greenje02
365,Jonathan Isaac,27,ORL,PF,71,1,15.4,1.9,4.6,0.414,0.5,2.1,0.258,1.3,2.4,0.549,0.474,1,1.5,0.682,1.7,2.7,4.4,0.6,0.9,1.1,0.5,1.3,5.4,,isaacjo01
366,Dean Wade,28,CLE,PF,59,30,21.2,1.9,4.6,0.413,1.4,3.8,0.36,0.5,0.8,0.653,0.561,0.3,0.5,0.533,0.9,3.4,4.2,1.3,0.7,0.3,0.4,1.7,5.4,,wadede01
367,Keaton Wallace,25,ATL,PG,31,5,16.2,2.1,5.2,0.401,0.9,2.6,0.329,1.2,2.6,0.475,0.485,0.4,0.4,1,0.2,1.4,1.6,2.6,0.9,0.3,1.1,1.3,5.4,,wallake01
368,Kobe Bufkin,21,ATL,SG,10,0,12.4,1.8,4.7,0.383,0.4,1.9,0.211,1.4,2.8,0.5,0.426,1.3,1.8,0.722,0.5,1.6,2.1,1.7,0.3,0.2,0.8,0.9,5.3,,bufkiko01
369,Jamal Cain,25,NOP,SF,37,0,13.6,1.8,4.3,0.43,0.7,2.2,0.325,1.1,2.1,0.538,0.513,0.9,1.4,0.68,0.7,1.6,2.3,0.6,0.6,0.2,0.6,1.2,5.3,,cainja01
370,Pat Connaughton,32,MIL,SG,41,1,14.7,2,4.3,0.469,0.6,2,0.321,1.4,2.3,0.594,0.542,0.6,0.8,0.774,0.5,2.2,2.7,1.7,0.2,0.3,0.6,1.1,5.3,,connapa01
371,Kevin Love,36,MIA,PF,23,9,10.9,1.8,5,0.357,1,2.9,0.358,0.7,2.1,0.354,0.461,0.7,1,0.696,1,3.1,4.1,1,0.7,0.2,0.6,0.9,5.3,,loveke01
372,Ben Sheppard,23,IND,SG,63,9,19.5,1.9,4.6,0.418,1.1,3.2,0.342,0.8,1.4,0.591,0.537,0.4,0.4,0.889,0.7,2.1,2.8,1.3,0.6,0.2,0.3,2,5.3,,sheppbe01
373,Monte Morris,29,PHO,PG,45,0,12.7,1.8,4.3,0.426,0.7,1.9,0.36,1.2,2.4,0.477,0.505,0.8,0.9,0.857,0.3,1.2,1.5,1.6,0.4,0.1,0.5,0.5,5.2,,morrimo01
374,Jabari Walker,22,POR,PF,60,1,12.5,2,3.8,0.515,0.5,1.2,0.389,1.5,2.6,0.573,0.576,0.8,1.2,0.69,1,2.5,3.5,0.6,0.6,0.1,0.6,1.5,5.2,,walkeja01
375,Javonte Green,31,2TM,SG,68,19,18.5,1.8,4.2,0.429,0.7,2.1,0.326,1.1,2.1,0.527,0.509,0.8,1.1,0.724,0.9,2.3,3.2,0.8,1,0.5,0.5,1.4,5.1,,greenja02
375,Javonte Green,31,NOP,SG,50,18,21.8,2,4.5,0.446,0.8,2.2,0.352,1.2,2.3,0.534,0.531,1,1.3,0.758,1,2.6,3.6,0.9,1.1,0.6,0.6,1.5,5.8,,greenja02
375,Javonte Green,31,CLE,SG,18,1,9.2,1.3,3.5,0.365,0.4,1.8,0.242,0.8,1.7,0.5,0.429,0.3,0.6,0.5,0.6,1.7,2.2,0.6,0.6,0.1,0.2,1.2,3.3,,greenja02
376,Alex Reese,25,2TM,PF,15,0,14.4,1.7,3.6,0.481,1,2.7,0.366,0.7,0.9,0.846,0.62,0.6,0.8,0.75,0.6,2.5,3.1,0.3,0.7,0.7,0.4,1.4,5.1,,reeseal01
376,Alex Reese,25,OKC,PF,1,0,2,1,1,1,0,0,,1,1,1,1,0,0,,1,0,1,0,0,0,0,0,2,,reeseal01
376,Alex Reese,25,PHI,PF,14,0,15.3,1.8,3.8,0.472,1.1,2.9,0.366,0.7,0.9,0.833,0.613,0.6,0.9,0.75,0.6,2.7,3.3,0.3,0.7,0.7,0.4,1.5,5.3,,reeseal01
377,Bismack Biyombo,32,SAS,C,28,26,18.9,2.4,4.1,0.588,0,0,,2.4,4.1,0.588,0.588,0.4,0.9,0.4,1.5,4.1,5.6,1.1,0.6,0.8,1,1.9,5.1,,biyombi01
378,Mitchell Robinson,26,NYK,C,17,3,17.1,2.2,3.3,0.661,0,0,,2.2,3.3,0.661,0.661,0.8,1.1,0.684,3.1,2.9,5.9,0.8,0.9,1.1,0.6,1.5,5.1,,robinmi01
379,Kai Jones,24,2TM,C,40,6,11.7,2.2,2.7,0.798,0,0.1,0.2,2.2,2.6,0.827,0.803,0.6,0.8,0.719,1,2.1,3.1,0.6,0.4,0.6,0.5,1.3,5,,joneska01
379,Kai Jones,24,LAC,C,28,0,7.4,0.9,1.3,0.722,0,0.1,0,0.9,1.2,0.765,0.722,0.3,0.4,0.75,0.5,1.1,1.6,0.4,0.2,0.5,0.4,0.8,2.2,,joneska01
379,Kai Jones,24,DAL,C,12,6,21.7,5.1,6.1,0.836,0.1,0.3,0.333,5,5.8,0.857,0.842,1.2,1.7,0.7,2.1,4.5,6.6,1.3,0.8,0.8,0.7,2.3,11.4,,joneska01
380,Ben Simmons,28,2TM,PG,51,24,22,2.3,4.4,0.52,0,0,,2.3,4.4,0.52,0.52,0.5,0.6,0.727,0.9,3.8,4.7,5.6,0.7,0.5,2,2.1,5,,simmobe01
380,Ben Simmons,28,BRK,PG,33,24,25,2.8,5.2,0.547,0,0,,2.8,5.2,0.547,0.547,0.5,0.8,0.692,0.9,4.3,5.2,6.9,0.8,0.5,2.7,2.5,6.2,,simmobe01
380,Ben Simmons,28,LAC,PG,18,0,16.4,1.3,2.9,0.434,0,0,,1.3,2.9,0.434,0.434,0.3,0.4,0.857,0.9,2.9,3.8,3.1,0.7,0.4,0.8,1.4,2.9,,simmobe01
381,Malaki Branham,21,SAS,SG,47,0,9.1,1.9,4,0.458,0.7,1.8,0.405,1.1,2.3,0.5,0.547,0.6,0.7,0.818,0.1,0.9,1.1,0.8,0.2,0,0.7,0.6,5,,branhma01
382,Neemias Queta,25,BOS,C,62,6,13.9,2.1,3.3,0.65,0,0,0,2.1,3.2,0.66,0.65,0.7,1,0.754,1.4,2.4,3.8,0.7,0.3,0.7,0.6,1.7,5,,quetane01
383,Alondes Williams,25,DET,SG,1,0,4,2,2,1,1,1,1,1,1,1,1.25,0,0,,0,0,0,1,0,0,0,0,5,,willial06
384,Jaylen Martin,21,2TM,SF,16,0,14.9,1.9,4.6,0.419,0.4,1.4,0.304,1.5,3.2,0.471,0.466,0.6,0.6,0.9,0.7,2.1,2.8,1.1,0.6,0,0.8,0.9,4.9,,martija02
384,Jaylen Martin,21,BRK,SF,3,0,1.7,0.3,0.7,0.5,0.3,0.3,1,0,0.3,0,0.75,0,0,,0,0,0,0,0,0,0,0.3,1,,martija02
384,Jaylen Martin,21,WAS,SF,13,0,18,2.3,5.5,0.417,0.5,1.7,0.273,1.8,3.8,0.48,0.458,0.7,0.8,0.9,0.8,2.5,3.4,1.3,0.7,0,0.9,1,5.8,,martija02
385,Lindy Waters III,27,2TM,SG,52,9,15,1.8,4.8,0.369,1.2,3.6,0.344,0.5,1.2,0.444,0.498,0.2,0.2,0.727,0.4,1.7,2.1,1,0.5,0.2,0.4,1.2,4.9,,waterli01
385,Lindy Waters III,27,GSW,SG,38,9,17.2,2,5.4,0.371,1.3,3.9,0.331,0.7,1.5,0.474,0.49,0.2,0.3,0.727,0.4,2.1,2.5,1.1,0.6,0.3,0.4,1.4,5.5,,waterli01
