Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
413,Danté Exum,29,DAL,PG,20,13,372,13.6,0.589,0.396,0.231,1.2,8.3,4.8,21.5,1.6,0.7,13,19.6,0.4,0.2,0.6,0.083,-1.2,-1.1,-2.3,0,,exumda01
414,Damion Baugh,24,CHO,SG,15,2,370,6.3,0.399,0.431,0.115,3.9,10.6,7.2,22.2,2,0.5,18.5,19.3,-0.8,0.2,-0.5,-0.069,-5.9,-1.2,-7.1,-0.5,,baughda01
415,Jaden Springer,22,2TM,PG,43,2,365,10.7,0.511,0.533,0.422,5.1,12.1,8.6,12.1,3.2,1,13,14.3,0.1,0.4,0.5,0.07,-4.3,1.6,-2.7,-0.1,,sprinja01
415,Jaden Springer,22,BOS,SG,26,0,141,12.1,0.52,0.559,0.618,3.1,15.4,9.2,9.1,4.3,0.7,8.5,14.7,0.1,0.3,0.4,0.133,-4.4,4.1,-0.3,0.1,,sprinja01
415,Jaden Springer,22,UTA,PG,17,2,224,9.8,0.504,0.518,0.304,6.3,10,8.2,14,2.6,1.3,15.9,14.1,0,0.1,0.1,0.031,-4.3,0,-4.3,-0.1,,sprinja01
416,Robert Williams,27,POR,C,20,3,351,18.9,0.679,0.038,0.218,10.5,26.3,18.2,8.6,1.8,8.5,16.6,12.2,0.6,0.7,1.3,0.175,-0.1,3.2,3,0.4,,williro04
417,Doug McDermott,33,SAC,SF,42,3,342,9.5,0.617,0.863,0.043,1,6.2,3.6,2.8,0.6,0.6,4.8,15.7,0.4,0.1,0.4,0.061,-0.8,-2.4,-3.2,-0.1,,mcderdo01
418,Christian Koloko,24,LAL,C,37,0,342,13,0.624,0.061,0.212,11.9,18.2,15.1,6.4,1.2,4.4,14.3,10.8,0.5,0.4,0.9,0.13,-3,0.2,-2.8,-0.1,,kolokch01
419,Terrence Shannon Jr.,24,MIN,SG,32,1,339,11.9,0.56,0.272,0.184,3.3,11.9,7.7,13.8,1,1.4,10.9,17.7,0.3,0.4,0.6,0.091,-2.1,0,-2.1,0,,shannte01
420,Keion Brooks Jr.,24,NOP,SF,14,6,332,12.8,0.581,0.394,0.275,3.8,15.4,9.4,5.7,1.5,2.9,8.9,17.1,0.3,0.1,0.4,0.057,-2.2,-1.3,-3.5,-0.1,,brookke02
421,Tristan Thompson,33,CLE,C,40,0,328,9.1,0.41,0.042,0.423,10.9,32.7,22.1,8.8,0.3,3,14.3,12.7,-0.2,0.5,0.4,0.057,-4.9,0.3,-4.6,-0.2,,thomptr01
422,Maxwell Lewis,22,2TM,SF,28,1,327,9.9,0.516,0.463,0.093,6,13.5,9.5,9,1.4,2.1,11.1,16.9,-0.1,0.3,0.2,0.03,-3.2,-1.1,-4.4,-0.2,,lewisma05
422,Maxwell Lewis,22,LAL,SF,7,0,29,2.2,0.333,0,0,8,0,3.9,8.8,1.7,0,25,12.1,-0.1,0,0,-0.082,-6.6,-2.9,-9.4,-0.1,,lewisma05
422,Maxwell Lewis,22,BRK,SF,21,1,298,10.6,0.526,0.49,0.098,5.8,14.8,10.1,9,1.3,2.3,10.1,17.4,0,0.2,0.3,0.041,-2.9,-1,-3.9,-0.1,,lewisma05
423,Jevon Carter,29,CHI,PG,36,1,321,12.2,0.509,0.719,0.068,1.3,11.2,6.4,17.2,1.9,0.8,6.8,21,0.1,0.3,0.3,0.046,-1,-1.1,-2.1,0,,carteje01
424,Patty Mills,36,2TM,PG,29,0,321,8.4,0.543,0.781,0.146,1.4,6,3.7,11.1,1.9,0.9,14.3,15.6,0,0.1,0.1,0.017,-3.2,0,-3.2,-0.1,,millspa02
424,Patty Mills,36,UTA,PG,17,0,260,6.2,0.473,0.75,0.066,1.3,7.4,4.4,11,2.2,1.1,17,15.1,-0.3,0.1,-0.2,-0.04,-4.5,0,-4.4,-0.2,,millspa02
424,Patty Mills,36,LAC,PG,12,0,61,17.5,0.772,0.9,0.45,1.9,0,0.9,11.8,0.8,0,4,17.9,0.3,0,0.3,0.259,2.2,-0.1,2.1,0.1,,millspa02
425,Tre Mann,23,CHO,PG,13,0,319,13.3,0.537,0.373,0.13,3.9,8.9,6.3,21.2,1.1,1.2,12.8,26,0,0.1,0.1,0.019,-0.6,-1.9,-2.4,0,,manntr01
426,Jalen Hood-Schifino,21,2TM,SG,15,0,315,7.9,0.494,0.469,0.214,1.1,9,4.9,16.7,0.8,2.2,14.4,17.3,-0.2,0.1,-0.1,-0.015,-4.4,-2.5,-6.9,-0.4,,hoodsja01
426,Jalen Hood-Schifino,21,LAL,SG,2,0,14,11.5,1.064,0,2,8.3,0,4,9.2,0,6.7,34.7,9,0,0,0,0.156,-3.9,1.5,-2.4,0,,hoodsja01
