Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG_pct,3P,3PA,3P_pct,2P,2PA,2P_pct,eFG_pct,FT,FTA,FT_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,Season
301,Tosan Evbuomwan,22,DET,SF,13,8,22.5,2.5,4.3,0.571,0.8,1.8,0.417,1.7,2.5,0.688,0.661,1.3,1.9,0.68,0.8,2.8,3.5,0.8,0.5,0.3,0.6,1.4,7.0,0.0,2023-24
302,Justin Champagnie,22,WAS,SF,15,1,15.7,2.1,5.2,0.41,0.9,3.0,0.289,1.3,2.2,0.576,0.494,0.8,1.0,0.8,1.3,2.3,3.5,1.3,0.7,0.6,0.7,0.9,5.9,0.0,2023-24
303,Nick Smith Jr.,19,CHO,SG,51,0,14.3,2.2,5.7,0.391,1.2,2.9,0.432,1.0,2.8,0.35,0.5,0.3,0.3,0.867,0.4,1.1,1.4,1.2,0.2,0.1,0.8,1.1,5.9,0.0,2023-24
304,Ochai Agbaji,23,2TM,SG,78,28,21.0,2.3,5.6,0.411,0.8,2.7,0.294,1.5,2.8,0.523,0.483,0.5,0.7,0.661,0.9,1.8,2.8,1.1,0.6,0.6,0.8,1.5,5.8,0.0,2023-24
304,Ochai Agbaji,23,UTA,SG,51,10,19.7,2.1,4.9,0.426,0.9,2.8,0.331,1.2,2.1,0.551,0.52,0.3,0.4,0.75,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4,0.0,2023-24
304,Ochai Agbaji,23,TOR,SG,27,18,23.6,2.7,6.8,0.391,0.6,2.6,0.217,2.1,4.3,0.496,0.432,0.8,1.3,0.611,1.4,1.9,3.3,1.3,0.7,0.6,1.1,1.9,6.7,0.0,2023-24
305,Noah Clowney,19,BRK,PF,23,4,16.1,2.2,4.0,0.538,0.5,1.4,0.364,1.7,2.6,0.633,0.602,0.9,1.3,0.7,1.1,2.4,3.5,0.8,0.3,0.7,0.7,1.1,5.8,0.0,2023-24
306,Dyson Daniels,20,NOP,PG,61,16,22.3,2.3,5.1,0.447,0.7,2.2,0.311,1.6,2.9,0.551,0.514,0.6,0.9,0.642,1.0,2.9,3.9,2.7,1.4,0.4,1.0,1.7,5.8,0.0,2023-24
307,Danilo Gallinari,35,3TM,SF,49,0,12.9,1.7,3.9,0.437,0.6,1.9,0.323,1.1,2.0,0.546,0.516,1.7,2.0,0.857,0.4,1.8,2.2,1.1,0.3,0.1,0.5,1.0,5.7,0.0,2023-24
307,Danilo Gallinari,35,WAS,PF,26,0,14.8,2.2,5.0,0.435,0.8,2.5,0.313,1.4,2.6,0.552,0.511,1.8,2.2,0.839,0.5,2.5,2.9,1.2,0.2,0.1,0.5,1.0,7.0,0.0,2023-24
307,Danilo Gallinari,35,DET,SF,6,0,15.0,2.0,3.7,0.545,1.2,2.0,0.583,0.8,1.7,0.5,0.705,3.5,4.0,0.875,0.3,2.0,2.3,2.0,0.3,0.3,0.2,1.5,8.7,0.0,2023-24
307,Danilo Gallinari,35,MIL,SF,17,0,9.1,0.8,2.2,0.378,0.2,1.0,0.176,0.6,1.2,0.55,0.419,0.9,1.1,0.889,0.4,0.7,1.1,0.7,0.4,0.1,0.6,0.9,2.8,0.0,2023-24
308,Thomas Bryant,26,MIA,C,38,4,11.6,2.3,3.9,0.577,0.1,0.6,0.182,2.2,3.3,0.646,0.591,1.1,1.2,0.872,1.1,2.7,3.7,0.6,0.3,0.4,0.6,1.2,5.7,0.0,2023-24
309,Torrey Craig,33,CHI,SF,53,14,19.8,2.0,4.7,0.43,1.1,2.9,0.392,0.9,1.8,0.49,0.55,0.5,0.7,0.75,1.3,2.8,4.1,1.1,0.6,0.4,0.6,2.1,5.7,0.0,2023-24
310,Larry Nance Jr.,31,NOP,C,61,0,19.9,2.3,4.0,0.573,0.4,1.1,0.415,1.8,2.9,0.631,0.629,0.8,1.0,0.77,1.5,3.5,5.0,1.9,1.0,0.3,0.8,1.6,5.7,0.0,2023-24
311,Pat Connaughton,31,MIL,SF,76,3,22.1,2.0,4.6,0.435,1.1,3.1,0.345,0.9,1.4,0.633,0.553,0.6,0.8,0.759,0.7,2.5,3.1,2.1,0.5,0.3,0.6,1.3,5.6,0.0,2023-24
312,Craig Porter Jr.,23,CLE,PG,51,6,12.7,2.3,4.5,0.509,0.2,0.7,0.353,2.0,3.8,0.536,0.535,0.8,1.1,0.732,0.4,1.7,2.1,2.3,0.4,0.3,0.9,0.8,5.6,0.0,2023-24
313,Mitchell Robinson,25,NYK,C,31,21,24.8,2.4,4.1,0.575,0.0,0.0,0.0,2.4,4.1,0.575,0.575,0.9,2.1,0.409,4.6,3.9,8.5,0.6,1.2,1.1,0.8,1.8,5.6,0.0,2023-24
314,Malachi Flynn,25,3TM,PG,69,0,12.7,2.0,4.7,0.418,0.8,2.4,0.331,1.2,2.3,0.513,0.505,0.8,1.0,0.732,0.3,1.3,1.7,1.9,0.6,0.1,0.9,1.0,5.5,0.0,2023-24
314,Malachi Flynn,25,TOR,PG,31,0,15.3,1.8,4.4,0.409,0.9,2.6,0.35,0.9,1.8,0.491,0.511,0.5,0.7,0.773,0.4,1.7,2.1,2.4,0.6,0.2,1.1,1.4,5.1,0.0,2023-24
314,Malachi Flynn,25,NYK,PG,14,0,4.3,0.6,1.6,0.391,0.3,0.9,0.308,0.4,0.7,0.5,0.478,0.6,0.8,0.818,0.0,0.4,0.4,0.4,0.1,0.0,0.2,0.2,2.2,0.0,2023-24
314,Malachi Flynn,25,DET,PG,24,0,14.3,3.0,6.9,0.43,1.0,3.2,0.316,2.0,3.7,0.528,0.503,1.1,1.6,0.684,0.3,1.5,1.8,2.1,0.8,0.1,1.1,0.9,8.0,0.0,2023-24
315,Doug McDermott,32,2TM,SF,64,0,14.1,1.9,4.4,0.433,1.5,3.6,0.41,0.5,0.9,0.527,0.599,0.2,0.3,0.579,0.2,0.8,0.9,1.1,0.3,0.0,0.4,1.0,5.5,0.0,2023-24
315,Doug McDermott,32,SAS,SF,46,0,15.2,2.1,4.7,0.442,1.7,3.8,0.439,0.4,0.9,0.452,0.619,0.2,0.4,0.588,0.2,0.9,1.0,1.2,0.2,0.0,0.5,1.0,6.0,0.0,2023-24
315,Doug McDermott,32,IND,SF,18,0,11.3,1.6,3.8,0.406,1.0,3.1,0.321,0.6,0.7,0.769,0.536,0.1,0.1,0.5,0.1,0.5,0.6,0.7,0.3,0.0,0.2,0.9,4.2,0.0,2023-24
316,Dexter Dennis,24,DAL,SG,4,0,7.5,2.5,4.8,0.526,0.3,2.0,0.125,2.3,2.8,0.818,0.553,0.3,0.8,0.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5,0.0,2023-24
317,Gary Payton II,31,GSW,SG,44,0,15.5,2.3,4.2,0.563,0.5,1.3,0.364,1.9,2.9,0.648,0.617,0.3,0.5,0.609,1.0,1.5,2.6,1.1,0.9,0.4,0.6,1.8,5.5,0.0,2023-24
318,Neemias Queta,24,BOS,C,28,0,11.9,2.4,3.7,0.644,0.0,0.0,0.0,2.4,3.7,0.644,0.644,0.7,1.0,0.714,1.9,2.5,4.4,0.7,0.5,0.8,0.5,1.8,5.5,0.0,2023-24
319,Ricky Council IV,22,PHI,SG,32,0,9.0,1.7,3.5,0.482,0.4,1.0,0.375,1.3,2.5,0.525,0.536,1.7,2.2,0.746,0.4,1.0,1.4,0.5,0.3,0.0,0.2,0.5,5.4,0.0,2023-24
320,Kris Dunn,29,UTA,PG,66,32,18.9,2.2,4.7,0.47,0.6,1.7,0.369,1.6,3.1,0.525,0.535,0.3,0.5,0.688,0.8,2.1,2.9,3.8,1.0,0.4,1.2,2.0,5.4,0.0,2023-24
321,Keon Ellis,24,SAC,SG,57,21,17.2,1.9,4.1,0.461,1.2,2.9,0.417,0.6,1.1,0.578,0.612,0.5,0.6,0.743,0.6,1.6,2.2,1.5,0.9,0.5,0.6,2.0,5.4,0.0,2023-24
322,Cam Reddish,24,LAL,SF,48,26,20.5,1.9,4.9,0.389,0.8,2.3,0.336,1.1,2.6,0.435,0.468,0.9,1.1,0.759,0.6,1.5,2.1,1.0,1.0,0.3,0.6,1.3,5.4,0.0,2023-24
323,Matt Ryan,26,NOP,SF,28,1,13.9,1.8,4.0,0.434,1.5,3.3,0.451,0.3,0.8,0.364,0.615,0.5,0.5,0.929,0.2,1.2,1.4,0.6,0.2,0.0,0.7,1.1,5.4,0.0,2023-24
324,Matisse Thybulle,26,POR,SF,65,19,22.9,1.9,4.9,0.397,1.2,3.6,0.346,0.7,1.3,0.535,0.524,0.3,0.4,0.759,0.5,1.6,2.1,1.4,1.7,0.8,0.6,1.4,5.4,0.0,2023-24
325,Sasha Vezenkov,28,SAC,PF,42,0,12.2,2.0,4.5,0.44,1.1,2.9,0.375,0.9,1.7,0.549,0.558,0.3,0.4,0.8,0.7,1.6,2.3,0.5,0.5,0.2,0.3,1.0,5.4,0.0,2023-24
326,Dean Wade,27,CLE,PF,54,32,20.5,1.8,4.3,0.414,1.5,3.7,0.391,0.3,0.6,0.567,0.584,0.4,0.5,0.769,0.7,3.4,4.0,0.8,0.7,0.5,0.4,1.7,5.4,0.0,2023-24
327,Darius Bazley,23,2TM,PF,9,0,16.9,2.0,3.3,0.6,0.2,0.9,0.25,1.8,2.4,0.727,0.633,1.1,1.3,0.833,0.9,2.2,3.1,0.8,0.7,0.8,0.9,0.3,5.3,0.0,2023-24
327,Darius Bazley,23,PHI,PF,3,0,3.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.7,0.0,0.0,0.3,0.0,0.0,0.0,2023-24
327,Darius Bazley,23,UTA,PF,6,0,23.7,3.0,4.8,0.621,0.3,1.3,0.25,2.7,3.5,0.762,0.655,1.7,2.0,0.833,1.3,3.2,4.5,0.8,1.0,1.2,1.2,0.5,8.0,0.0,2023-24
328,Xavier Tillman Sr.,25,2TM,PF,54,15,18.0,2.2,5.2,0.434,0.4,1.5,0.247,1.9,3.7,0.51,0.47,0.4,0.9,0.44,1.3,2.6,3.9,1.4,0.9,0.8,0.6,1.4,5.3,0.0,2023-24
328,Xavier Tillman Sr.,25,MEM,C,34,13,20.6,2.6,6.3,0.408,0.4,1.6,0.226,2.2,4.7,0.469,0.437,0.5,1.3,0.419,1.6,3.0,4.6,1.7,1.2,1.0,0.9,1.8,6.0,0.0,2023-24
328,Xavier Tillman Sr.,25,BOS,PF,20,2,13.7,1.7,3.3,0.515,0.4,1.4,0.286,1.3,1.9,0.684,0.576,0.2,0.4,0.571,0.7,2.0,2.7,1.0,0.5,0.5,0.3,0.8,4.0,0.0,2023-24
329,Nicolas Batum,35,2TM,PF,60,38,25.5,1.9,4.3,0.453,1.2,3.1,0.395,0.7,1.2,0.606,0.596,0.3,0.4,0.714,1.2,3.0,4.1,2.1,0.8,0.6,0.7,1.8,5.3,0.0,2023-24
329,Nicolas Batum,35,LAC,PF,3,0,18.0,1.0,2.7,0.375,0.7,2.3,0.286,0.3,0.3,1.0,0.5,0.0,0.0,0.0,0.0,2.3,2.3,1.7,1.0,1.3,0.3,1.7,2.7,0.0,2023-24
329,Nicolas Batum,35,PHI,PF,57,38,25.9,2.0,4.4,0.456,1.2,3.1,0.399,0.7,1.2,0.6,0.599,0.3,0.4,0.714,1.2,3.0,4.2,2.2,0.8,0.6,0.7,1.8,5.5,0.0,2023-24
330,Luke Kornet,28,BOS,C,63,7,15.6,2.3,3.2,0.7,0.0,0.0,1.0,2.2,3.2,0.698,0.702,0.8,0.9,0.907,1.9,2.3,4.1,1.1,0.4,1.0,0.3,1.2,5.3,0.0,2023-24
331,Davion Mitchell,25,SAC,PG,72,4,15.3,2.0,4.5,0.452,0.8,2.2,0.361,1.2,2.3,0.539,0.54,0.4,0.6,0.714,0.3,1.1,1.3,1.9,0.2,0.0,0.6,1.2,5.3,0.0,2023-24
332,Mason Plumlee,33,LAC,C,46,11,14.7,1.9,3.3,0.569,0.0,0.1,0.0,1.9,3.2,0.592,0.569,1.5,2.2,0.707,1.3,3.8,5.1,1.2,0.3,0.4,0.8,1.5,5.3,0.0,2023-24
333,Stanley Umude,24,DET,SG,24,2,12.8,1.5,3.5,0.44,1.0,2.2,0.453,0.5,1.3,0.419,0.583,1.2,1.3,0.906,0.3,1.8,2.1,0.5,0.3,0.3,0.6,1.7,5.3,0.0,2023-24
334,Aleksej Pokusevski,22,2TM,PF,28,0,14.5,1.8,4.3,0.405,0.6,2.0,0.327,1.1,2.4,0.47,0.479,1.1,1.5,0.732,0.6,2.6,3.2,1.3,0.5,0.5,0.7,0.8,5.2,0.0,2023-24
334,Aleksej Pokusevski,22,OKC,PF,10,0,6.0,0.4,1.6,0.25,0.2,1.1,0.182,0.2,0.5,0.4,0.313,0.2,0.4,0.5,0.2,0.8,1.0,0.5,0.1,0.1,0.3,0.5,1.2,0.0,2023-24
334,Aleksej Pokusevski,22,CHO,PF,18,0,19.2,2.5,5.8,0.429,0.9,2.4,0.364,1.6,3.4,0.475,0.505,1.6,2.1,0.757,0.8,3.6,4.4,1.7,0.8,0.7,0.9,0.9,7.4,0.0,2023-24
