player,season,age,team,position,games_played,games_started,minutes_per_game,rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,points_per_game,per,usage_pct,true_shooting_pct,win_shares,Box_PlusMinus,value_over_replacement,delta_points_per_game,delta_rebounds_per_game,delta_assists_per_game,delta_per,delta_usage_pct,delta_true_shooting_pct,delta_Box_PlusMinus,delta_win_shares,delta_value_over_replacement,z_delta_points_per_game,z_delta_per,z_delta_usage_pct,z_delta_true_shooting_pct,z_delta_win_shares,breakout_score,breakout
Tristan Da Silva,2024-25,23.0,ORL,SF,74.0,38.0,22.0,3.3,1.5,0.4,0.2,7.2,9.9,15.2,0.522,2.5,-2.6,-0.3,,,,,,,,,,,,,,,,0
Tristan Vukcevic,2024-25,21.0,WAS,C,35.0,1.0,14.7,3.7,1.1,0.3,0.7,9.4,17.8,25.7,0.608,0.7,-0.5,0.2,,,,,,,,,,,,,,,,0
Troy Brown Jr.,2020-21,21.0,2TM,SF,34.0,0.0,15.4,3.1,0.9,0.3,0.2,4.7,8.5,14.0,0.525,0.5,-4.0,-0.3,,,,,,,,,,,,,,,,0
Troy Brown Jr.,2021-22,22.0,CHI,SF,66.0,7.0,16.0,3.1,1.0,0.5,0.1,4.3,10.1,12.3,0.525,1.4,-1.8,0.1,-0.40000000000000036,0.0,0.09999999999999998,1.5999999999999996,-1.6999999999999993,0.0,2.2,0.8999999999999999,0.4,-0.38906047117991915,0.43537385744663354,-0.7637174048423732,-0.13252095648496487,0.22516511788309085,-0.12,0
Troy Brown Jr.,2022-23,23.0,LAL,SF,76.0,45.0,24.5,4.1,1.3,0.8,0.2,7.1,9.6,12.1,0.561,2.9,-1.0,0.5,2.8,0.9999999999999996,0.30000000000000004,-0.5,-0.20000000000000107,0.03600000000000003,0.8,1.5,0.4,0.6228678767538607,-0.4641753515043254,-0.23297360344817794,0.7034852831399817,0.5464181407232682,0.24,0
Troy Brown Jr.,2023-24,24.0,2TM,SF,59.0,15.0,14.0,2.4,1.0,0.4,0.1,4.2,8.8,14.3,0.51,0.8,-2.6,-0.1,-2.8999999999999995,-1.6999999999999997,-0.30000000000000004,-0.7999999999999989,2.200000000000001,-0.051000000000000045,-1.6,-2.0999999999999996,-0.6,-1.1796294930031843,-0.5926823813544619,0.6162164787825362,-1.3168631292869726,-1.3810999963177955,-0.77,0
Ty Jerome,2020-21,23.0,OKC,SG,33.0,1.0,23.9,2.8,3.6,0.6,0.2,10.7,13.4,18.8,0.585,1.3,-0.7,0.3,,,,,,,,,,,,,,,,0
Ty Jerome,2021-22,24.0,OKC,SG,48.0,4.0,16.7,1.6,2.3,0.6,0.1,7.1,11.3,20.8,0.488,0.5,-2.3,-0.1,-3.5999999999999996,-1.1999999999999997,-1.3000000000000003,-2.0999999999999996,2.0,-0.09699999999999998,-1.5999999999999999,-0.8,-0.4,-1.4009888191136985,-1.1495461773717226,0.545450638596643,-2.3850933243632904,-0.6850517801640782,-1.02,0
TyTy Washington Jr.,2022-23,21.0,HOU,PG,31.0,2.0,14.0,1.5,1.5,0.5,0.1,4.7,7.5,17.4,0.432,-0.1,-6.3,-0.5,,,,,,,,,,,,,,,,0
Tyler Cook,2020-21,23.0,2TM,SF,32.0,1.0,13.7,3.0,0.5,0.3,0.1,4.9,12.8,13.9,0.659,0.8,-3.0,-0.1,,,,,,,,,,,,,,,,0
Tyler Herro,2020-21,21.0,MIA,SG,54.0,15.0,30.3,5.0,3.4,0.6,0.3,15.1,13.3,23.5,0.543,1.7,-1.3,0.3,,,,,,,,,,,,,,,,0
Tyler Herro,2021-22,22.0,MIA,SG,66.0,10.0,32.6,5.0,4.0,0.7,0.1,20.7,16.2,28.8,0.561,3.8,0.7,1.5,5.6,0.0,0.6000000000000001,2.8999999999999986,5.300000000000001,0.018000000000000016,2.0,2.0999999999999996,1.2,1.508305181195918,0.9922376534638935,1.7130870016638742,0.2854821633275084,0.8676711635634453,1.07,1
Tyler Herro,2022-23,23.0,MIA,SG,67.0,67.0,34.9,5.4,4.2,0.8,0.2,20.1,15.3,25.6,0.566,3.5,0.6,1.6,-0.5999999999999979,0.40000000000000036,0.20000000000000018,-0.8999999999999986,-3.1999999999999993,0.004999999999999893,-0.09999999999999998,-0.2999999999999998,0.10000000000000009,-0.4523059929257796,-0.6355180579711741,-1.294461206236569,-0.016408978759280428,-0.41734092779726367,-0.56,0
Tyler Herro,2023-24,24.0,MIA,SG,42.0,40.0,33.5,5.3,4.5,0.7,0.1,20.8,15.7,27.8,0.558,2.0,0.8,1.0,0.6999999999999993,-0.10000000000000053,0.2999999999999998,0.3999999999999986,2.1999999999999993,-0.007999999999999896,0.20000000000000007,-1.5,-0.6000000000000001,-0.04121010157768243,-0.07865426195391496,0.6162164787825355,-0.3183001208460615,-1.0598469734776184,-0.18,0
Tyrese Haliburton,2020-21,20.0,SAC,PG,58.0,20.0,30.1,3.0,5.3,1.3,0.5,13.0,16.2,18.1,0.585,3.5,1.4,1.5,,,,,,,,,,,,,,,,0
Tyrese Haliburton,2021-22,21.0,2TM,PG,77.0,77.0,35.0,4.0,8.2,1.7,0.6,15.3,18.2,19.0,0.595,7.0,2.6,3.1,2.3000000000000007,1.0,2.8999999999999995,2.0,0.8999999999999986,0.010000000000000009,1.2000000000000002,3.5,1.6,0.4647540723892079,0.606716563913483,0.1562385175742322,0.09970299896640918,1.6172615501905259,0.59,1
Tyrese Haliburton,2022-23,22.0,IND,PG,56.0,56.0,33.6,3.7,10.4,1.6,0.4,20.7,23.6,23.8,0.624,7.6,7.2,4.4,5.399999999999999,-0.2999999999999998,2.200000000000001,5.400000000000002,4.800000000000001,0.029000000000000026,4.6,0.5999999999999996,1.3000000000000003,1.4450596594500564,2.063129568881703,1.5361724011991422,0.5409285143240199,0.06453860646300204,1.13,1
Tyrese Haliburton,2023-24,23.0,IND,PG,69.0,68.0,32.2,3.9,10.9,1.2,0.7,20.1,23.3,24.6,0.605,9.0,6.9,5.0,-0.5999999999999979,0.19999999999999973,0.5,-0.3000000000000007,0.8000000000000007,-0.019000000000000017,-0.2999999999999998,1.4000000000000004,0.5999999999999996,-0.4523059929257796,-0.37850399827090103,0.12085559748128658,-0.5737464718425755,0.49287597024990554,-0.16,0
Tyrese Haliburton,2024-25,24.0,IND,PG,73.0,73.0,33.6,3.5,9.2,1.4,0.7,18.6,21.8,21.6,0.616,10.4,5.8,4.9,-1.5,-0.3999999999999999,-1.700000000000001,-1.5,-3.0,0.01100000000000001,-1.1000000000000005,1.4000000000000004,-0.09999999999999964,-0.7369108407821559,-0.8925321176714488,-1.2236953660506764,0.12292539451154659,0.49287597024990554,-0.45,0
Tyrese Maxey,2020-21,20.0,PHI,SG,61.0,8.0,15.3,1.7,2.0,0.4,0.2,8.0,14.5,23.0,0.531,1.9,-1.5,0.1,,,,,,,,,,,,,,,,0
Tyrese Maxey,2021-22,21.0,PHI,PG,75.0,74.0,35.3,3.2,4.3,0.7,0.4,17.5,16.2,20.2,0.594,7.3,0.6,1.8,9.5,1.5000000000000002,2.3,1.6999999999999993,-2.8000000000000007,0.06299999999999994,2.1,5.4,1.7,2.7415928552402122,0.47820953406334576,-1.1529295258647838,1.330489962858689,2.6345627891844208,1.21,1
Tyrese Maxey,2022-23,22.0,PHI,SG,60.0,41.0,33.6,2.9,3.5,0.8,0.1,20.3,17.0,24.1,0.605,5.4,0.6,1.3,2.8000000000000007,-0.30000000000000027,-0.7999999999999998,0.8000000000000007,3.900000000000002,0.01100000000000001,0.0,-1.8999999999999995,-0.5,0.622867876753861,0.0926884445129353,1.217726120362625,0.12292539451154659,-1.2740156553710698,0.16,0
Tyrese Maxey,2023-24,23.0,PHI,PG,70.0,70.0,37.5,3.7,6.2,1.0,0.5,25.9,19.8,28.0,0.573,8.1,3.1,3.4,5.599999999999998,0.8000000000000003,2.7,2.8000000000000007,3.8999999999999986,-0.03200000000000003,2.5,2.6999999999999993,2.0999999999999996,1.5083051811959176,0.9494019768471821,1.217726120362624,-0.8756376139293619,1.1889241864036224,0.8,1
